Column 1,docket,title
https://caselaw.findlaw.com/us-supreme-court/12-547.html,No. 12-547,"METRISH, WARDEN v. LANCASTER "
https://caselaw.findlaw.com/us-supreme-court/12-126.html,No. 12-126,"MCQUIGGIN, WARDEN v. PERKINS "
https://caselaw.findlaw.com/us-supreme-court/12-167.html,No. 12-167,UNITED STATES v. DAVILA 
https://caselaw.findlaw.com/us-supreme-court/12-25.html,No. 12-25,MARACICH ET AL. v. SPEARS ET AL. 
https://caselaw.findlaw.com/us-supreme-court/11-345.html,No. 11-345,FISHER v. UNIVERSITY OF TEXAS AT AUSTIN ET AL. 
https://caselaw.findlaw.com/us-supreme-court/11-556.html,No. 11-556,VANCE v. BALL STATE UNIVERSITY ET AL. 
https://caselaw.findlaw.com/us-supreme-court/12-484.html,No. 12-484,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER v. NASSAR 
https://caselaw.findlaw.com/us-supreme-court/12-96.html,No. 12-96,"SHELBY COUNTY, ALABAMA v. HOLDER, ATTORNEY GENERAL, ET AL. "
https://caselaw.findlaw.com/us-supreme-court/12-414.html,No. 12-414,"BURT, WARDEN v. TITLOW "
https://caselaw.findlaw.com/us-supreme-court/12-815.html,No. 12-815,"SPRINT COMMUNICATIONS, INC. v. JACOBS ET AL. "
https://caselaw.findlaw.com/us-supreme-court/11-965.html,No. 11-965,DAIMLER AG v. BAUMAN ET AL. 
https://caselaw.findlaw.com/us-supreme-court/12-7515.html,No. 12-7515,BURRAGE v. UNITED STATES 
https://caselaw.findlaw.com/us-supreme-court/12-7822.html,No. 12-7822,FERNANDEZ v. CALIFORNIA 
https://caselaw.findlaw.com/us-supreme-court/12-1038.html,No. 12-1038,UNITED STATES v. APEL 
https://caselaw.findlaw.com/us-supreme-court/12-3.html,No. 12-3,LAWSON ET AL. v. FMR LLC ET AL. 
https://caselaw.findlaw.com/us-supreme-court/12-1182.html,No. 12-1182,"ENVIRONMENTAL PROTECTION AGENCY ET AL. v. EME HOMER CITY GENERATION, L. P., ET AL. "
https://caselaw.findlaw.com/us-supreme-court/12-1315.html,No. 12-1315,"PETRELLA v. METRO-GOLDWYN-MAYER, INC., ET AL. "
https://caselaw.findlaw.com/us-supreme-court/13-115.html,No. 13-115,WOOD ET AL. v. MOSS ET AL. 
https://caselaw.findlaw.com/us-supreme-court/13-369.html,No. 13-369,"NAUTILUS, INC. v. BIOSIG INSTRUMENTS, INC. "
https://caselaw.findlaw.com/us-supreme-court/13-339.html,No. 13-339,CTS CORP. v. WALDBURGER ET AL. 
https://caselaw.findlaw.com/us-supreme-court/12-842.html,No. 12-842,"REPUBLIC OF ARGENTINA v. NML CAPITAL, LTD. "
https://caselaw.findlaw.com/us-supreme-court/13-317.html,No. 13-317,"HALLIBURTON CO. ET AL. v. ERICA P. JOHN FUND, INC., FKA ARCHDIOCESE OF MILWAUKEE SUPPORTING FUND, INC. "
https://caselaw.findlaw.com/us-supreme-court/13-354.html,No. 13-354,"BURWELL, SECRETARY OF HEALTH AND HUMAN SERVICES, ET AL. v. HOBBY LOBBY STORES, INC., ET AL. "
https://caselaw.findlaw.com/us-supreme-court/13-6827.html,No. 13-6827,"HOLT, AKA MUHAMMAD v. HOBBS, DIRECTOR, ARKANSAS DEPARTMENT OF CORRECTION, ET AL. "
https://caselaw.findlaw.com/us-supreme-court/13-719.html,No. 13-719,"DART CHEROKEE BASIN OPERATING CO., LLC, ET AL. v. OWENS "
https://caselaw.findlaw.com/us-supreme-court/13-7451.html,No. 13-7451,YATES v. UNITED STATES 
https://caselaw.findlaw.com/us-supreme-court/13-1010.html,No. 13-1010,"M&G POLYMERS USA, LLC, ET AL. v. TACKETT ET AL "
